runs;prev_run;dim;stochastic;theta;rra;rho1y;gamma;subs;T;kappa1;kappa2;kappa3;pi3;pi2;tp;J;threshold_min;threshold_max;deterministic;gamma_EZ;epsilon_b
82;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.7;0
83;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;2;0
84;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;2;0
85;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;2;0
86;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;2;0
87;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;4;0
88;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;4;0
89;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;4;0
90;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;4;0
91;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;10;0
92;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;10;0
93;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;10;0
94;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;10;0
95;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;20;0
96;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;20;0
97;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;20;0
98;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;20;0
99;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;25;0
100;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;25;0
101;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;25;0
102;53;2;0;0.5;0.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;25;0
103;0;1;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.2;0
104;103;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0;0;0;0;0;0;0.2;0
105;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;0;0;0;0;0;0.2;0
106;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.2;0
107;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.2;0
108;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.2;0
109;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.2;0
110;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.4;0
111;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.4;0
112;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.4;0
113;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.4;0
114;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.6;0
115;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.6;0
116;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.6;0
117;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.6;0
118;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;0.8;0
119;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;0.8;0
120;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;0.8;0
121;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;0.8;0
122;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.2;0
123;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.2;0
124;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.2;0
125;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.2;0
126;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.4;0
127;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.4;0
128;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.4;0
129;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.4;0
130;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;1.7;0
131;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;1.7;0
132;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;1.7;0
133;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;1.7;0
134;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;2;0
135;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;2;0
136;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;2;0
137;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;2;0
138;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;4;0
139;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;4;0
140;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;4;0
141;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;4;0
142;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;10;0
143;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;10;0
144;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;10;0
145;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;10;0
146;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;20;0
147;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;20;0
148;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;20;0
149;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;20;0
150;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;0;25;0
151;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.01;0.85;5.7;1;25;0
152;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;0;25;0
153;104;2;0;1.5;1.5;0.015;0;1;120;0;0;0;2;0.00236;1;0.1;0.85;5.7;1;25;0
